,date,recipient,withdraw,balance,category,days,months,year
0,2020-07-02,COCO TEA          _F,11.00,6004.78,Food,02,07,2020
1,2020-07-03,SAVINGS ACC,0.50,6004.28,Investments,03,07,2020
2,2020-07-03,STEAM,29.77,5974.51,Recreation,03,07,2020
3,2020-07-06,SAVINGS ACC,0.50,6074.00,Investments,06,07,2020
4,2020-07-30,ALBERTA EDUCATI   _V,10.00,7904.00,Education,30,07,2020
5,2020-07-31,SAVINGS ACC,0.50,7903.50,Investments,31,07,2020
6,2020-08-05,PAYPAL *RE  283.98_V,283.98,8869.58,Health and Vanity,05,08,2020
7,2020-08-06,SAVINGS ACC,0.50,9779.08,Investments,06,08,2020
8,2020-08-06,COCO TEA          _F,6.81,9772.27,Food,06,08,2020
9,2020-08-07,SAVINGS ACC,0.50,9771.77,Investments,07,08,2020
10,2020-08-14,LONDON DRUGS 40   _F,26.49,9760.28,Material Desires,14,08,2020
11,2020-08-17,SAVINGS ACC,0.50,9759.78,Investments,17,08,2020
12,2020-09-04,LONDON DRUGS 40   _F,18.88,9872.47,Material Desires,04,09,2020
13,2020-09-08,SAVINGS ACC,0.50,9871.97,Investments,08,09,2020
14,2020-09-22,TFR-TO C/C,7000.00,5407.87,Investments,22,09,2020
15,2020-11-15,AMZN Mktp CA,$71.39,0.00,Productivity,15,11,2020
16,2020-11-23,TFR-TO C/C,71.39,11271.66,Investments,23,11,2020
17,2020-11-29,Lenovo,14.69,0.00,Productivity,29,11,2020
18,2020-12-08,MCGILL,3795.22,7476.53,Education,08,12,2020
19,2020-12-21,TFR-TO C/C,46.80,7429.73,Investments,21,12,2020
20,2020-12-22,UPS,32.11,0.00 ,Material Desires,22,12,2020
21,2020-12-30,PAYPAL *FA    2.27_V,2.27,10277.46,Material Desires,30,12,2020
22,2020-12-31,SAVINGS ACC,0.50,10276.96,Investments,31,12,2020
23,2021-01-29,FREEDOM MOBILE,80.92,0.00,Necessities,29,01,2021
24,2021-02-22,TFR-TO C/C,80.92,13375.32,Investments,22,02,2021
25,2021-03-01,FREEDOM MOBILE,42.92,0.00,Necessities,01,03,2021
26,2021-03-22,TFR-TO C/C,42.92,13332.50,Investments,22,03,2021
27,2021-03-29,FREEDOM MOBILE,42.92,42.92,Necessities,29,03,2021
28,2021-03-30,PP*HUMBLEB   14.24_V,14.24,13318.26,Material Desires,30,03,2021
29,2021-03-31,SAVINGS ACC,0.50,13317.76,Investments,31,03,2021
30,2021-04-26,TFR-TO C/C,42.92,13274.95,Investments,26,04,2021
31,2021-04-29,FREEDOM MOBILE,42.92,42.92,Necessities,29,04,2021
32,2021-05-03,MCGILL,339.85,12935.21,Education,03,05,2021
33,2021-05-06,aliexpress,22.94,65.86,Material Desires,06,05,2021
34,2021-05-06,PAYPAL *CH    7.76_V,7.76,13417.45,Material Desires,06,05,2021
35,2021-05-07,SAVINGS ACC,0.50,13416.95,Investments,07,05,2021
36,2021-05-12,PAYPAL *ORION L   _V,3.36,13413.59,Material Desires,12,05,2021
37,2021-05-13,SAVINGS ACC,0.50,13413.09,Investments,13,05,2021
38,2021-05-19,PAYPAL *CHENZHONG,117.08,160.00,Material Desires,19,05,2021
39,2021-05-21,TFR-TO C/C,42.92,13370.17,Investments,21,05,2021
40,2021-05-25,TFR-TO C/C,117.08,13253.09,Investments,25,05,2021
41,2021-06-04,E-TRANSFER,50.00,13203.20,Material Desires,04,06,2021
42,2021-06-10,"EXPLAIN EVERYTHING SALES,",8.68,8.68,Productivity,10,06,2021
43,2021-06-10,EPC*EPIC GAMES STORE,8.79,17.47,Material Desires,10,06,2021
44,2021-06-14,E-TRANSFER,50.00,13153.20,Material Desires,14,06,2021
45,2021-06-14,E-TRANSFER,147.53,13005.67,Material Desires,14,06,2021
46,2021-06-15,TRUEDAN 6219 CENTRE ST.,4.19,69.92,Food,15,06,2021
47,2021-06-15,AMZN Mktp CA,48.26,65.73,Productivity,15,06,2021
48,2021-06-18,Fanatical,6.78,76.70,Material Desires,18,06,2021
49,2021-06-22,CDN SHR INVEST   INV,1000.00,12478.47,Investments,22,06,2021
50,2021-06-23,TFR-TO C/C,269.45,12209.02,Investments,23,06,2021
51,2021-06-24,PAYPAL *CHENZHONG,192.75,51.41,Material Desires,24,06,2021
52,2021-06-24,TRUEDAN 6219 CENTRE ST.,3.14,-141.34,Food,24,06,2021
53,2021-06-24,H&M CA#109 - DEERFOOT,47.22,-145.53,Health and Vanity,24,06,2021
54,2021-06-24,6A SNACK BAR,1.05,-144.48,Food,24,06,2021
55,2021-06-30,DOLLARAMA # 494,3.15,54.56,Material Desires,30,06,2021
56,2021-06-30,LONDON DRUGS 40,29.65,84.21,Health and Vanity,30,06,2021
57,2021-07-01,DAIRY QUEEN #27231,7.23,91.44,Food,01,07,2021
58,2021-07-02,CDN SHR INVEST   INV,300.00,13530.09,Investments,02,07,2021
59,2021-07-08,STEAM,20.27,116.95,Recreation,08,07,2021
60,2021-07-08,PHO VAN VIETNAMESE NOODLE,15.64,132.59,Food,08,07,2021
61,2021-07-08,XINGFUTANG HARVEST HILLS,5.24,96.68,Food,08,07,2021
62,2021-07-10,"EXPLAIN EVERYTHING SALES,",9.00,141.59,Productivity,10,07,2021
63,2021-07-17,KIM CHI HOUSE,17.45,159.04,Food,17,07,2021
64,2021-07-17,PARK ADMISSIONS,5.00,164.04,Recreation,17,07,2021
65,2021-07-18,eBay,134.50,298.54,Productivity,18,07,2021
66,2021-07-23,ROYAL TEA HOUSE,11.28,309.82,Food,23,07,2021
67,2021-07-24,DELL CANADA INC,334.94,644.76,Productivity,24,07,2021
68,2021-07-26,LONDON DRUGS POSTAL OUTLE,4.98,96.42,Productivity,26,07,2021
69,2021-07-26,TFR-TO C/C,553.32,14358.99,Investments,26,07,2021
70,2021-07-27,TFR-TO C/C,91.44,14267.55,Investments,27,07,2021
71,2021-07-27,E-TRANSFER,85.00,14182.55,Material Desires,27,07,2021
72,2021-07-27,BRIXTON NEIGHBOURHOOD PUB,18.72,33.77,Food,27,07,2021
73,2021-07-27,DAIRY QUEEN #27231,10.07,15.05,Food,27,07,2021
74,2021-07-30,AMZN Mktp CA,165.89,199.66,Productivity,30,07,2021
75,2021-07-30,AMZN Mktp CA,34.48,234.14,Health and Vanity,30,07,2021
76,2021-07-31,TRUEDAN 6219 CENTRE ST.,3.14,237.28,Food,31,07,2021
77,2021-07-31,AMZN Mktp CA,28.88,266.16,Productivity,31,07,2021
78,2021-07-31,AMZN Mktp CA,25.19,291.35,Material Desires,31,07,2021
79,2021-08-01,aliexpress,322.68,600.38,Material Desires,01,08,2021
80,2021-08-02,ETSY,34.48,634.86,Health and Vanity,02,08,2021
81,2021-08-03,CDN SHR INVEST   INV,300.00,15343.03,Investments,03,08,2021
82,2021-08-04,NEWEGG CANADA INC,39.99,777.74,Productivity,04,08,2021
83,2021-08-04,AMZN Mktp CA,134.39,737.75,Health and Vanity,04,08,2021
84,2021-08-04,aliexpress,76.10,853.84,Material Desires,04,08,2021
